{'epoch': 28, 'num_users': 5.94, 'loss': 0.0264, 'hit_ratio@10': 0.8527, 'ndcg@10': 0.8657}: 100%|████████████████████████████████████████████████████████████████████████████████| 50/50 [01:22<00:00,  1.65s/it]
{'epoch': 29, 'num_users': 5.94, 'loss': 0.026, 'hit_ratio@10': 0.8494, 'ndcg@10': 0.863}: 100%|██████████████████████████████████████████████████████████████████████████████████| 50/50 [01:17<00:00,  1.55s/it]
{'epoch': 30, 'num_users': 5.94, 'loss': 0.0257, 'hit_ratio@10': 0.8538, 'ndcg@10': 0.8666}: 100%|████████████████████████████████████████████████████████████████████████████████| 50/50 [01:19<00:00,  1.58s/it]
{'epoch': 31, 'num_users': 5.94, 'loss': 0.0248, 'hit_ratio@10': 0.8549, 'ndcg@10': 0.8682}: 100%|████████████████████████████████████████████████████████████████████████████████| 50/50 [01:19<00:00,  1.60s/it]
{'epoch': 32, 'num_users': 5.94, 'loss': 0.0245, 'hit_ratio@10': 0.8524, 'ndcg@10': 0.8725}: 100%|████████████████████████████████████████████████████████████████████████████████| 50/50 [01:16<00:00,  1.53s/it]
{'epoch': 33, 'num_users': 5.94, 'loss': 0.0239, 'hit_ratio@10': 0.854, 'ndcg@10': 0.8727}: 100%|█████████████████████████████████████████████████████████████████████████████████| 50/50 [01:15<00:00,  1.50s/it]
{'epoch': 34, 'num_users': 5.94, 'loss': 0.0228, 'hit_ratio@10': 0.8533, 'ndcg@10': 0.8756}: 100%|████████████████████████████████████████████████████████████████████████████████| 50/50 [01:17<00:00,  1.55s/it]
{'epoch': 35, 'num_users': 5.94, 'loss': 0.0235, 'hit_ratio@10': 0.8544, 'ndcg@10': 0.878}: 100%|█████████████████████████████████████████████████████████████████████████████████| 50/50 [01:16<00:00,  1.54s/it]
{'epoch': 36, 'num_users': 5.94, 'loss': 0.0216, 'hit_ratio@10': 0.8567, 'ndcg@10': 0.8804}: 100%|████████████████████████████████████████████████████████████████████████████████| 50/50 [01:15<00:00,  1.50s/it]
{'epoch': 37, 'num_users': 5.94, 'loss': 0.022, 'hit_ratio@10': 0.8488, 'ndcg@10': 0.8812}: 100%|█████████████████████████████████████████████████████████████████████████████████| 50/50 [01:16<00:00,  1.53s/it]
